config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid,,,,,,,
95,2.4191,2.7579,3.1322,2.72227670486007,1.14384957638752,2.83384957638752,,,2.74522005668903,,0.303076601583443,0.033802883661199,1.64671224489796
173,2.4425,2.7564,3.122,2.72277571343596,1.14434889161013,2.83434889161013,,,2.75473724613959,,0.193662665993756,0.049228424937576,1.83052040816326
13,2.4469,2.759,3.0868,2.73061768599895,1.15219568315886,2.84219568315886,,,2.73987742387177,,0.357960997381949,0.0149494443234037,1.64169591836735
157,2.4351,2.7622,3.1192,2.73304703030935,1.15462652033034,2.84462652033034,,,2.75171703738554,,0.312874570229946,0.0284705977878829,1.66528367346939
171,2.4464,2.761,3.0961,2.73347484721934,1.15505460013892,2.84505460013892,,,2.74572651308604,,0.33917334321673,0.0195199750719597,1.66050204081633
49,2.4631,2.7598,3.0738,2.7342415331277,1.15582175718493,2.84582175718493,,,2.74410256703793,,0.329296517679713,0.0164729545729223,1.71071224489796
97,2.5137,2.8165,2.951,2.74543125358208,1.16701835385609,2.85701835385609,,,2.74543125358209,,1.19757002491878,-0.160254234371259,0.721189795918368
65,2.452,2.7826,3.1306,2.77166334373413,1.19326656394064,2.88326656394064,,,2.78255333990761,,0.375615083746017,0.0165681739635171,1.60330612244898
50,2.4707,2.7827,3.126,2.77254289185109,1.19414665255041,2.88414665255041,,,2.79155969335919,,0.285550657666468,0.0298036692562113,1.75174081632653
194,2.4407,2.785,3.1601,2.77512725041099,1.19673259922949,2.88673259922949,,,2.7954900787344,,0.332440936189004,0.0293275723032369,1.6267
108,2.443,2.7922,3.1676,2.78936192207082,1.21097601826495,2.90097601826495,,,2.80682601608066,,0.360513989212373,0.0249474803358712,1.5896530612245
117,2.4462,2.7925,3.1694,2.78997156896118,1.2115860397906,2.9015860397906,,,2.81032961657118,,0.336127495820582,0.0291371335220475,1.62538367346939
168,2.4779,2.7982,3.1562,2.80098251733496,1.22260375452359,2.91260375452359,,,2.8246028206525,,0.267354430180107,0.0358977102542871,1.7704918367347
83,2.4401,2.7982,3.1952,2.80164068521999,1.22326232686063,2.91326232686063,,,2.82870858086759,,0.313958852474528,0.0370403429414261,1.63130408163266
28,2.5002,2.7989,3.1099,2.80170401605305,1.22332569661125,2.91332569661125,,,2.80878052359513,,0.355220720436551,0.0117119850431759,1.71454693877551
63,2.4815,2.7987,3.1354,2.80171047469496,1.22333215922207,2.91333215922207,,,2.81355276723076,,0.347394174052928,0.0185677811660105,1.68266326530612
56,2.4532,2.8005,3.213,2.8065341055474,1.22815875425325,2.91815875425325,,,2.85220011216182,,0.177211147210042,0.0620830426678915,1.82017959183674
145,2.4493,2.801,3.218,2.80775308767848,1.22937848546339,2.91937848546339,,,2.85408332108887,,0.182819843547929,0.0621782620584861,1.80425918367347
180,2.4566,2.8016,3.2277,2.80909139344235,1.23071761363213,2.92071761363213,,3.17425887700156,,,0.100374964514399,0.0772229257724844,1.91776326530612
126,2.4435,2.8028,3.2163,2.81169557259599,1.23332339308494,2.92332339308494,,,2.8503706401766,,0.244732359713591,0.0516089097024496,1.71558163265306
123,2.4704,2.8105,3.1608,2.82458110341451,1.24621684221595,2.93621684221595,,,2.83105810668353,,0.422081506482036,0.00971237784068234,1.55488979591837
54,2.4835,2.8126,3.1654,2.82825096505317,1.24988895902839,2.93988895902839,,,2.84312395944643,,0.3443581837681,0.0225669955709969,1.67380612244898
85,2.53,2.8215,3.1264,2.84004680788765,1.26169205054908,2.95169205054908,,,2.84759299627927,,0.340188625682112,0.01275939833972,1.77097959183674
178,2.4825,2.8236,3.1962,2.85149885071356,1.27315113079199,2.96315113079199,,,2.87199815111884,,0.324781960697723,0.0299941080374019,1.6815
12,2.5767,2.9078,3.0311,2.85839841320896,1.2800549331509,2.9700549331509,,,2.85839841320896,,1.41962117149796,-0.197865893656254,0.485679591836737
36,2.4724,2.8312,3.238,2.87227065902676,1.29393570362933,2.98393570362933,,,2.90560992277089,,0.272765984291705,0.0457053074855644,1.71174693877551
14,2.5271,2.84,3.1706,2.87610448726802,1.29777188780381,2.98777188780381,,,2.88651705428281,,0.349799309213637,0.0168538321353021,1.7306306122449
163,2.5042,2.837,3.2199,2.87859526732762,1.30026419847748,2.99026419847748,,,2.91093024346356,,0.227157130240041,0.0477049146880574,1.82940408163265
107,2.4885,2.8467,3.2691,2.90871876253824,1.33040620493545,3.02040620493545,,,2.95338838308309,,0.196885941393554,0.0611308487619427,1.81882653061225
150,2.5424,2.8582,3.1861,2.90893699263654,1.33062456913875,3.02062456913875,,,2.91592427484959,,0.379745213386743,0.0115215462619864,1.70678775510205
103,2.5286,2.8604,3.2127,2.91940616115177,1.34110017108299,3.03110017108299,,,2.93177691697814,,0.362909267261771,0.0195199750719601,1.69355918367347
125,2.5094,2.8592,3.2371,2.92480915312789,1.34650648326217,3.03650648326217,,,2.94271694152646,,0.352539586159038,0.026756648757174,1.66480816326531
