config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid
154,2.3209,2.6326,2.9219,2.504755737885287,0.9261949401822609,2.616194940182261
187,1.9848,2.1769,2.3871,1.9561692722957567,0.3772713616618557,2.067271361661856
111,2.3592,2.6774,3.0206,2.5806574936071245,1.002143338438931,2.692143338438931
94,2.1278,2.3913,2.709,2.156155696975925,0.5773806803869703,2.26738068038697
8,2.5421,2.9212,3.3264,3.074218969356069,1.496008113605731,3.186008113605731
24,2.5686,2.9126,3.284,3.0300451916983744,1.45180719063442,3.1418071906344203
47,2.289,2.5594,2.8524,2.414632778977616,0.8360165996406594,2.526016599640659
13,2.4469,2.759,3.0868,2.7306176859989497,1.152195683158863,2.842195683158863
177,2.4192,2.7222,3.0425,2.66770224145532,1.0892415763236205,2.7792415763236207
163,2.5042,2.837,3.2199,2.8785952673276234,1.3002641984774808,2.9902641984774805
147,2.0232,2.1539,2.3024,2.0137289708928052,0.43486643138070824,2.124866431380708
131,2.0992,2.342,2.6201,2.1122673580171907,0.5334653715201074,2.223465371520107
121,2.1689,2.4212,2.6974,2.2185321169153647,0.6397954313809697,2.32979543138097
81,2.2987,2.6492,3.0867,2.492077325458625,0.9135087367198371,2.603508736719837
108,2.443,2.7922,3.1676,2.7893619220708192,1.2109760182649525,2.900976018264952
188,2.2017,2.4761,2.7646,2.2793924829318644,0.7006931968187986,2.3906931968187983
91,2.5222,2.8762,3.2426,2.957031830476926,1.378748961831035,3.0687489618310346
143,2.2182,2.4171,2.6253,2.2728260186484026,0.6941226973646593,2.384122697364659
86,2.6661,3.0717,3.5339,3.564017375152746,1.9861075063688627,3.6761075063688624
60,2.5949,2.945,3.3147,3.096336017972719,1.5181387534127386,3.2081387534127384
180,2.4566,2.8016,3.2277,2.809091393442349,1.2307176136321256,2.9207176136321253
96,2.6177,2.9686,3.3323,3.1402820632151744,1.562111804024523,3.2521118040245227
196,2.0825,2.2532,2.451,2.0858586203562566,0.5070404053746735,2.1970404053746737
93,2.0103,2.1826,2.3678,1.9925587167782248,0.4136831678922923,2.1036831678922923
9,2.2196,2.4659,2.7372,2.2923999053761093,0.7137086124793883,2.403708612479388
153,2.8397,3.2883,3.7204,4.038314144007878,2.4606957362495265,4.150695736249526
20,2.0484,2.2394,2.4511,2.041116681951741,0.4622709725149814,2.152270972514981
57,2.7954,3.2284,3.7163,4.314913673820408,2.7374652397745383,4.427465239774538
198,2.3549,2.662,3.0218,2.553997616409708,0.9754670784287722,2.6654670784287724
117,2.4462,2.7925,3.1694,2.789971568961179,1.211586039790603,2.901586039790603
2,2.4129,2.6953,3.0,2.628373688733437,1.0498888557366752,2.739888855736675
184,2.2586,2.5251,2.8064,2.3652512446233773,0.7866047197441566,2.4766047197441567
171,2.4464,2.761,3.0961,2.733474847219339,1.155054600138924,2.8450546001389236
54,2.4835,2.8126,3.1654,2.828250965053174,1.2498889590283884,2.939888959028388
140,2.0891,2.3554,2.7157,2.0973080804907025,0.5184969013390297,2.2084969013390294
