Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.0,9.2,997.46,0.0010026,1.8759,1.8925,6.5735,74.5,75.286,1497.7,-0.022155,892.96,0.60673,liquid
298.0,9.3,997.46,0.0010025,1.8759,1.8927,6.5735,74.5,75.285,1497.7,-0.022155,892.96,0.60674,liquid
298.0,9.4,997.46,0.0010025,1.8759,1.8929,6.5734,74.499,75.285,1497.7,-0.022155,892.95,0.60675,liquid
298.0,9.5,997.47,0.0010025,1.8759,1.893,6.5734,74.499,75.284,1497.7,-0.022154,892.95,0.60675,liquid
298.0,9.6,997.47,0.0010025,1.8759,1.8932,6.5733,74.498,75.284,1497.7,-0.022154,892.95,0.60676,liquid
298.0,9.7,997.48,0.0010025,1.8758,1.8934,6.5733,74.497,75.283,1497.8,-0.022154,892.95,0.60676,liquid
298.0,9.8,997.48,0.0010025,1.8758,1.8935,6.5732,74.497,75.283,1497.8,-0.022154,892.95,0.60677,liquid
298.0,9.9,997.49,0.0010025,1.8758,1.8937,6.5732,74.496,75.282,1497.8,-0.022154,892.95,0.60677,liquid
298.0,10.0,997.49,0.0010025,1.8758,1.8939,6.5731,74.495,75.282,1497.8,-0.022154,892.95,0.60678,liquid
298.0,11.0,997.54,0.0010025,1.8757,1.8955,6.5727,74.489,75.277,1498.0,-0.022154,892.93,0.60684,liquid
298.0,12.0,997.58,0.0010024,1.8755,1.8972,6.5722,74.483,75.271,1498.1,-0.022154,892.92,0.60689,liquid
298.0,13.0,997.63,0.0010024,1.8754,1.8989,6.5717,74.477,75.266,1498.3,-0.022154,892.9,0.60695,liquid
298.0,14.0,997.67,0.0010023,1.8752,1.9005,6.5713,74.471,75.261,1498.5,-0.022153,892.89,0.60701,liquid
298.0,15.0,997.72,0.0010023,1.8751,1.9022,6.5708,74.465,75.256,1498.6,-0.022153,892.88,0.60706,liquid
298.0,16.0,997.76,0.0010022,1.875,1.9039,6.5703,74.459,75.251,1498.8,-0.022153,892.86,0.60712,liquid
298.0,17.0,997.81,0.0010022,1.8748,1.9055,6.5699,74.453,75.245,1499.0,-0.022152,892.85,0.60718,liquid
298.0,18.0,997.85,0.0010022,1.8747,1.9072,6.5694,74.447,75.24,1499.1,-0.022152,892.83,0.60723,liquid
298.0,19.0,997.9,0.0010021,1.8746,1.9089,6.5689,74.441,75.235,1499.3,-0.022152,892.82,0.60729,liquid
298.0,20.0,997.94,0.0010021,1.8744,1.9105,6.5685,74.435,75.23,1499.5,-0.022152,892.81,0.60735,liquid
298.0,21.0,997.99,0.001002,1.8743,1.9122,6.568,74.429,75.225,1499.6,-0.022151,892.79,0.6074,liquid
298.0,22.0,998.03,0.001002,1.8742,1.9139,6.5676,74.423,75.22,1499.8,-0.022151,892.78,0.60746,liquid
298.0,23.0,998.08,0.0010019,1.874,1.9155,6.5671,74.417,75.215,1500.0,-0.022151,892.77,0.60752,liquid
